Running Time,Self (ms),,Symbol Name
39610.5ms   97.2%,0, ,start
39609.3ms   97.2%,0, , main
38545.5ms   94.6%,0.357, ,  projectMSDL::renderFrame()
38471.4ms   94.4%,0, ,   projectM::renderFrame()
25370.2ms   62.2%,0, ,    MilkdropPreset::Render(BeatDetect const&, PipelineContext const&)
25370.2ms   62.2%,0, ,     MilkdropPreset::evaluateFrame()
24881.0ms   61.0%,231.275, ,      MilkdropPreset::evalPerPixelEqns()
24144.3ms   59.2%,963.2910000000001, ,       PerPixelEqn::evaluate(int, int)
14773.1ms   36.2%,2747.08, ,        PrefunExpr::eval_prefun_expr(int, int)
7622.4ms   18.7%,3573.485, ,         TreeExpr::eval_tree_expr(int, int)
3397.9ms    8.3%,428.0020000000001, ,          PrefunExpr::eval_prefun_expr(int, int)
1870.6ms    4.5%,1214.765, ,           TreeExpr::eval_tree_expr(int, int)
426.0ms    1.0%,425.953, ,            ValExpr::eval_val_expr(int, int)
229.9ms    0.5%,229.926, ,            GenExpr::eval_gen_expr(int, int)
957.1ms    2.3%,957.1080000000002, ,           0x7fff5a635a80
69.2ms    0.1%,69.18900000000001, ,           FuncWrappers::sin_wrapper(float*)
52.9ms    0.1%,52.924, ,           GenExpr::eval_gen_expr(int, int)
18.2ms    0.0%,18.225, ,           FuncWrappers::sqrt_wrapper(float*)
1.8ms    0.0%,1.829, ,           ValExpr::eval_val_expr(int, int)
341.2ms    0.8%,341.182, ,          ValExpr::eval_val_expr(int, int)
306.8ms    0.7%,306.788, ,          GenExpr::eval_gen_expr(int, int)
3.0ms    0.0%,3.034, ,          DYLD-STUB$$sinf
2173.9ms    5.3%,2173.943, ,         GenExpr::eval_gen_expr(int, int)
1328.8ms    3.2%,1328.753, ,         ValExpr::eval_val_expr(int, int)
347.5ms    0.8%,347.524, ,         FuncWrappers::if_wrapper(float*)
124.6ms    0.3%,124.614, ,         FuncWrappers::above_wrapper(float*)
93.4ms    0.2%,70.691, ,         FuncWrappers::abs_wrapper(float*)
84.5ms    0.2%,84.53600000000002, ,         FuncWrappers::below_wrapper(float*)
83.8ms    0.2%,83.82999999999998, ,         FuncWrappers::max_wrapper(float*)
81.9ms    0.2%,81.926, ,         FuncWrappers::min_wrapper(float*)
66.3ms    0.1%,66.32199999999999, ,         0x7fff5a635b60
14.4ms    0.0%,14.443, ,         FuncWrappers::sqrt_wrapper(float*)
4.3ms    0.0%,4.016, ,         FuncWrappers::cos_wrapper(float*)
7950.3ms   19.5%,2588.943, ,        TreeExpr::eval_tree_expr(int, int)
4078.4ms   10.0%,449.852, ,         PrefunExpr::eval_prefun_expr(int, int)
1753.6ms    4.3%,748.124, ,          TreeExpr::eval_tree_expr(int, int)
758.4ms    1.8%,107.168, ,           PrefunExpr::eval_prefun_expr(int, int)
326.2ms    0.8%,166.993, ,            TreeExpr::eval_tree_expr(int, int)
84.1ms    0.2%,13.756, ,             PrefunExpr::eval_prefun_expr(int, int)
45.2ms    0.1%,45.22399999999999, ,              0x7fff5a641d20
11.4ms    0.0%,11.407, ,              GenExpr::eval_gen_expr(int, int)
8.7ms    0.0%,8.745000000000001, ,              ValExpr::eval_val_expr(int, int)
5.0ms    0.0%,5.003, ,              TreeExpr::eval_tree_expr(int, int)
45.8ms    0.1%,45.84299999999999, ,             ValExpr::eval_val_expr(int, int)
29.2ms    0.0%,29.187, ,             GenExpr::eval_gen_expr(int, int)
252.3ms    0.6%,252.3270000000001, ,            0x7fff5a635a80
47.6ms    0.1%,47.57000000000001, ,            GenExpr::eval_gen_expr(int, int)
13.5ms    0.0%,13.525, ,            FuncWrappers::sin_wrapper(float*)
6.5ms    0.0%,6.5, ,            ValExpr::eval_val_expr(int, int)
3.6ms    0.0%,3.606, ,            FuncWrappers::abs_wrapper(float*)
1.6ms    0.0%,1.553, ,            FuncWrappers::sqrt_wrapper(float*)
132.2ms    0.3%,132.175, ,           ValExpr::eval_val_expr(int, int)
114.9ms    0.2%,114.905, ,           GenExpr::eval_gen_expr(int, int)
1150.7ms    2.8%,1150.687, ,          0x7fff5a635a80
261.0ms    0.6%,260.964, ,          ValExpr::eval_val_expr(int, int)
227.5ms    0.5%,227.49, ,          GenExpr::eval_gen_expr(int, int)
61.7ms    0.1%,61.744, ,          0x7fff5a641d20
46.9ms    0.1%,46.852, ,          FuncWrappers::sin_wrapper(float*)
45.3ms    0.1%,45.266, ,          tanf
40.6ms    0.0%,40.63700000000001, ,          logf
13.1ms    0.0%,13.063, ,          0x7fff5a635b60
12.6ms    0.0%,12.574, ,          FuncWrappers::sqrt_wrapper(float*)
5.9ms    0.0%,2.59, ,          FuncWrappers::abs_wrapper(float*)
5.5ms    0.0%,5.495, ,          FuncWrappers::if_wrapper(float*)
3.0ms    0.0%,3.009, ,          FuncWrappers::below_wrapper(float*)
1.3ms    0.0%,1.31, ,          FuncWrappers::pow_wrapper(float*)
